enc     ECB 	CBC	  OFB	  CFB	  CTR	  XTS	  CCM	  GCM
1       0.008	0.01	0.006	0.016	0.008	0.013	0.017	0.012
2       0.081	0.128	0.142	0.177 0.079	0.119	0.147	0.094
3       1.961	3.751	3.8	  5.145	2.02	3.287	4.036	2.326
4       0.155	0.306	0.322	0.4	  0.163	0.282	0.343	0.187
5       0.297	0.583	0.603	0.829	0.297	0.515	0.648	0.359
6       0.991	1.823	1.833	2.44	1.007	1.603	1.978	1.16

dec     ECB 	CBC	  OFB	  CFB	  CTR	  XTS	  CCM	  GCM
1       0.008	0.002	0.01	0.012	0.002	0.011	0.012	0.008
2       0.067	0.066	0.125	0.168	0.071	0.112	0.136	0.08
3       1.969	1.998	3.835	5.204	2.04	3.352	4.051	2.337
4       0.142	0.147	0.314	0.386	0.152	0.284	0.34	0.184
5       0.283	0.292	0.601	0.838	0.295	0.542	0.645	0.352
6       0.959	0.98	1.852	2.454	0.998	1.617	1.961	1.149
